Ingreso,"Título","Jurisdicción","Departamento"
2024/05/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/02/28,"ASOCIADO A VD","COMISARÍA 10","MALDONADO"
2024/11/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RÍO NEGRO"
2024/05/21,"ASOCIADO A VD","COMISARÍA 11","SORIANO"
2024/12/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MALDONADO"
2024/12/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","ARTIGAS"
2024/12/26,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/09/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/08/05,"ASOCIADO A VD","COMISARÍA 11","MALDONADO"
2024/11/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/02/17,"ASOCIADO A VD","COMISARÍA 24","MONTEVIDEO"
2024/02/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/04/08,"ASOCIADO A VD","COMISARÍA 2","CANELONES"
2024/04/15,"ASOCIADO A VD","COMISARÍA 8","MONTEVIDEO"
2024/04/25,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/09/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","MONTEVIDEO"
2024/05/05,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/07/20,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/05/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SALTO"
2024/10/30,"ASOCIADO A VD","COMISARÍA 3","TACUAREMBÓ"
2024/12/23,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/06/22,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/12/04,"ASOCIADO A VD","COMISARÍA 2","MONTEVIDEO"
2024/06/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/09/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MALDONADO"
2024/07/30,"ASOCIADO A VD","COMISARÍA 6","RÍO NEGRO"
2024/09/18,"ASOCIADO A VD","COMISARÍA 29","CANELONES"
2024/12/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/08/31,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/06/11,"ASOCIADO A VD","COMISARÍA 1","MALDONADO"
2024/05/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","RIVERA"
2024/09/06,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/09/27,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RIVERA"
2024/10/06,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","FLORIDA"
2024/02/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/05/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CERRO LARGO"
2024/01/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","COLONIA"
2024/02/08,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/11/14,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
