Ingreso,"Título","Jurisdicción","Departamento"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","ROCHA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","CERRO LARGO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","PAYSANDÚ"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/04/10,"ASOCIADO A VD","COMISARÍA 6","RÍO NEGRO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","RÍO NEGRO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","ROCHA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","RIVERA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 28","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","LAVALLEJA"
2024/04/09,"ASOCIADO A VD","COMISARÍA 25","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TREINTA Y TRES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/09,"ASOCIADO A VD","COMISARÍA 8","LAVALLEJA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","PAYSANDÚ"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","FLORIDA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TREINTA Y TRES"
2024/04/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CERRO LARGO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","COLONIA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","ROCHA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","DURAZNO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SAN JOSÉ"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","MONTEVIDEO"
2024/04/14,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","ARTIGAS"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 26","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/04/09,"ASOCIADO A VD","COMISARÍA 7","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SORIANO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","SAN JOSÉ"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","RIVERA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","COLONIA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","ROCHA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 26","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","COLONIA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SAN JOSÉ"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MALDONADO"
2024/04/09,"ASOCIADO A VD","COMISARÍA 5","SORIANO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 28","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 30","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","FLORIDA"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SAN JOSÉ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","PAYSANDÚ"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MALDONADO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MALDONADO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 26","CANELONES"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","FLORIDA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","MONTEVIDEO"
2024/04/09,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MALDONADO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","CANELONES"
2024/04/10,"ASOCIADO A VD","COMISARÍA 1","TREINTA Y TRES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RÍO NEGRO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","DURAZNO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","SAN JOSÉ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/04/10,"ASOCIADO A VD","COMISARÍA 10","SAN JOSÉ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","RÍO NEGRO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SORIANO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","PAYSANDÚ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SORIANO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 30","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","COLONIA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/14,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/04/10,"ASOCIADO A VD","COMISARÍA 19","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","SAN JOSÉ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","PAYSANDÚ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MALDONADO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","PAYSANDÚ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","RIVERA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","CERRO LARGO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","FLORIDA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RÍO NEGRO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/18,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","COLONIA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RIVERA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","CERRO LARGO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CERRO LARGO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","ARTIGAS"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","PAYSANDÚ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SORIANO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","COLONIA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","LAVALLEJA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/04/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","CERRO LARGO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RIVERA"
2024/04/18,"ASOCIADO A VD","COMISARÍA 2","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","CERRO LARGO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORIDA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","LAVALLEJA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","LAVALLEJA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SORIANO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","ROCHA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MALDONADO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","RIVERA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SORIANO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/10,"ASOCIADO A VD","COMISARÍA 8","LAVALLEJA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","ROCHA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","RIVERA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TACUAREMBÓ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","COLONIA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","SALTO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","ROCHA"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","PAYSANDÚ"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 30","CANELONES"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 12","MALDONADO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 28","CANELONES"
2024/04/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MALDONADO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 27","CANELONES"
2024/04/11,"ASOCIADO A VD","COMISARÍA 1","TACUAREMBÓ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/10,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/04/10,"ASOCIADO A VD","COMISARÍA 4","LAVALLEJA"
2024/04/11,"ASOCIADO A VD","COMISARÍA 15","CERRO LARGO"
2024/04/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 26","CANELONES"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","MALDONADO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/04/13,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","FLORES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","DURAZNO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","SALTO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","SAN JOSÉ"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 17","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","TACUAREMBÓ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","LAVALLEJA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/04/16,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","FLORES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/30,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","MONTEVIDEO"
2024/04/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 23","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","TREINTA Y TRES"
2024/04/17,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","SALTO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","SAN JOSÉ"
2024/04/11,"ASOCIADO A VD","COMISARÍA 6","MALDONADO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MONTEVIDEO"
2024/04/25,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","TACUAREMBÓ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","MALDONADO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 6","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","SAN JOSÉ"
2024/04/19,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","TACUAREMBÓ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","SALTO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","ARTIGAS"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 5","SALTO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","RIVERA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","SALTO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/12,"ASOCIADO A VD","COMISARÍA 2","TACUAREMBÓ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 16","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","DURAZNO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MALDONADO"
2024/05/29,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","MALDONADO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","RÍO NEGRO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","COLONIA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 19","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","FLORIDA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 14","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 22","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","COLONIA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 21","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 11","SAN JOSÉ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","TREINTA Y TRES"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 28","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 24","MONTEVIDEO"
2024/05/24,"VIOLENCIA DOMÉSTICA","COMISARÍA 9","CANELONES"
2024/05/11,"ASOCIADO A VD","COMISARÍA 3","TACUAREMBÓ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","PAYSANDÚ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","FLORES"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","MONTEVIDEO"
2024/04/21,"VIOLENCIA DOMÉSTICA","COMISARÍA 10","MALDONADO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","CERRO LARGO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 15","DURAZNO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 2","RÍO NEGRO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","COLONIA"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 7","COLONIA"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 25","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 4","LAVALLEJA"
2024/04/15,"VIOLENCIA DOMÉSTICA","COMISARÍA 8","CERRO LARGO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 20","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","CANELONES"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","PAYSANDÚ"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 1","MONTEVIDEO"
2024/04/11,"VIOLENCIA DOMÉSTICA","COMISARÍA 18","MONTEVIDEO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 13","DURAZNO"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 30","CANELONES"
2024/04/12,"VIOLENCIA DOMÉSTICA","COMISARÍA 3","RIVERA"
2024/04/11,"ASOCIADO A VD","COMISARÍA 3","MALDONADO"
